Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
467	0.425	5.e-002	0.1	9.8242e-004
468	0.45	5.e-002	7.5e-002	1.0383e-003
469	0.375	5.e-002	0.1	8.6622e-004
470	0.4	5.e-002	7.5e-002	9.2065e-004
471	0.325	5.e-002	0.1	7.5227e-004
472	0.35	5.e-002	7.5e-002	8.0497e-004
473	0.275	5.e-002	0.1	6.4074e-004
474	0.3	5.e-002	7.5e-002	6.9147e-004
475	0.225	5.e-002	0.1	5.3203e-004
476	0.25	5.e-002	7.5e-002	5.8025e-004
477	0.175	5.e-002	0.1	4.2623e-004
478	0.2	5.e-002	7.5e-002	4.716e-004
479	0.125	5.e-002	0.1	3.2577e-004
480	0.15	5.e-002	7.5e-002	3.6564e-004
481	7.5e-002	5.e-002	0.1	2.2589e-004
482	0.1	5.e-002	7.5e-002	2.6429e-004
483	2.5e-002	5.e-002	0.1	1.2803e-004
484	5.e-002	5.e-002	7.5e-002	1.6307e-004
485	0.	2.5e-002	0.1	0.
486	0.	5.e-002	7.5e-002	0.
487	0.	-2.5e-002	0.1	0.
488	0.	0.	7.5e-002	0.
489	0.	-5.e-002	7.5e-002	0.
490	0.	0.	2.5e-002	0.
491	0.	-2.5e-002	5.e-002	0.
492	0.	2.5e-002	5.e-002	0.
493	0.	-2.5e-002	0.	0.
494	0.	2.5e-002	0.	0.
495	0.	-5.e-002	2.5e-002	0.
496	2.5e-002	-5.e-002	0.	1.3666e-004
497	2.5e-002	-5.e-002	5.e-002	1.1265e-004
498	0.	5.e-002	2.5e-002	0.
499	2.5e-002	5.e-002	0.	1.2803e-004
500	2.5e-002	5.e-002	5.e-002	1.0939e-004
501	0.925	5.e-002	5.e-002	2.2002e-003
502	0.95	5.e-002	2.5e-002	2.2602e-003
503	0.975	5.e-002	5.e-002	2.3194e-003
504	0.875	5.e-002	5.e-002	2.0794e-003
505	0.9	5.e-002	2.5e-002	2.1406e-003
506	0.825	5.e-002	5.e-002	1.957e-003
507	0.85	5.e-002	2.5e-002	2.0189e-003
508	0.775	5.e-002	5.e-002	1.8336e-003
509	0.8	5.e-002	2.5e-002	1.8959e-003
510	0.725	5.e-002	5.e-002	1.7097e-003
511	0.75	5.e-002	2.5e-002	1.7722e-003
512	0.675	5.e-002	5.e-002	1.5857e-003
513	0.7	5.e-002	2.5e-002	1.6483e-003
514	0.625	5.e-002	5.e-002	1.4621e-003
515	0.65	5.e-002	2.5e-002	1.5245e-003
516	0.575	5.e-002	5.e-002	1.3392e-003
517	0.6	5.e-002	2.5e-002	1.4012e-003
518	0.525	5.e-002	5.e-002	1.2173e-003
519	0.55	5.e-002	2.5e-002	1.2789e-003
520	0.475	5.e-002	5.e-002	1.0969e-003
521	0.5	5.e-002	2.5e-002	1.1578e-003
522	0.425	5.e-002	5.e-002	9.7817e-004
523	0.45	5.e-002	2.5e-002	1.0383e-003
524	0.375	5.e-002	5.e-002	8.6129e-004
525	0.4	5.e-002	2.5e-002	9.2065e-004
526	0.325	5.e-002	5.e-002	7.4646e-004
527	0.35	5.e-002	2.5e-002	8.0497e-004
528	0.275	5.e-002	5.e-002	6.3377e-004
529	0.3	5.e-002	2.5e-002	6.9147e-004
530	0.225	5.e-002	5.e-002	5.2345e-004
531	0.25	5.e-002	2.5e-002	5.8025e-004
532	0.175	5.e-002	5.e-002	4.1528e-004
533	0.2	5.e-002	2.5e-002	4.716e-004
534	0.125	5.e-002	5.e-002	3.1123e-004
535	0.15	5.e-002	2.5e-002	3.6564e-004
536	7.5e-002	5.e-002	5.e-002	2.0953e-004
537	0.1	5.e-002	2.5e-002	2.6429e-004
538	5.e-002	5.e-002	2.5e-002	1.6307e-004
539	7.5e-002	5.e-002	0.	2.2589e-004
