Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
457	0.675	5.e-002	0.1	5.8499e+007
458	0.7	5.e-002	7.5e-002	5.3336e+007
459	0.625	5.e-002	0.1	6.7495e+007
460	0.65	5.e-002	7.5e-002	6.2333e+007
461	0.575	5.e-002	0.1	7.6491e+007
462	0.6	5.e-002	7.5e-002	7.1331e+007
463	0.525	5.e-002	0.1	8.5489e+007
464	0.55	5.e-002	7.5e-002	8.033e+007
465	0.475	5.e-002	0.1	9.4487e+007
466	0.5	5.e-002	7.5e-002	8.9329e+007
467	0.425	5.e-002	0.1	1.0349e+008
468	0.45	5.e-002	7.5e-002	9.8328e+007
469	0.375	5.e-002	0.1	1.1248e+008
470	0.4	5.e-002	7.5e-002	1.0733e+008
471	0.325	5.e-002	0.1	1.2149e+008
472	0.35	5.e-002	7.5e-002	1.1633e+008
473	0.275	5.e-002	0.1	1.3047e+008
474	0.3	5.e-002	7.5e-002	1.2533e+008
475	0.225	5.e-002	0.1	1.3955e+008
476	0.25	5.e-002	7.5e-002	1.3432e+008
477	0.175	5.e-002	0.1	1.4817e+008
478	0.2	5.e-002	7.5e-002	1.4337e+008
479	0.125	5.e-002	0.1	1.597e+008
480	0.15	5.e-002	7.5e-002	1.52e+008
481	7.5e-002	5.e-002	0.1	1.7853e+008
482	0.1	5.e-002	7.5e-002	1.6323e+008
483	2.5e-002	5.e-002	0.1	2.1278e+008
484	5.e-002	5.e-002	7.5e-002	1.8051e+008
485	0.	2.5e-002	0.1	2.6341e+008
486	0.	5.e-002	7.5e-002	2.871e+008
487	0.	-2.5e-002	0.1	2.6653e+008
488	0.	0.	7.5e-002	2.0541e+008
489	0.	-5.e-002	7.5e-002	2.8556e+008
490	0.	0.	2.5e-002	2.0541e+008
491	0.	-2.5e-002	5.e-002	1.7347e+008
492	0.	2.5e-002	5.e-002	2.4498e+008
493	0.	-2.5e-002	0.	2.6653e+008
494	0.	2.5e-002	0.	2.6341e+008
495	0.	-5.e-002	2.5e-002	2.8556e+008
496	2.5e-002	-5.e-002	0.	1.8319e+008
497	2.5e-002	-5.e-002	5.e-002	1.3358e+008
498	0.	5.e-002	2.5e-002	2.871e+008
499	2.5e-002	5.e-002	0.	2.1278e+008
500	2.5e-002	5.e-002	5.e-002	2.1493e+008
501	0.925	5.e-002	5.e-002	1.3143e+007
502	0.95	5.e-002	2.5e-002	1.069e+007
503	0.975	5.e-002	5.e-002	1.7767e+007
504	0.875	5.e-002	5.e-002	2.1143e+007
505	0.9	5.e-002	2.5e-002	1.745e+007
506	0.825	5.e-002	5.e-002	3.0064e+007
507	0.85	5.e-002	2.5e-002	2.6258e+007
508	0.775	5.e-002	5.e-002	3.9165e+007
509	0.8	5.e-002	2.5e-002	3.5347e+007
510	0.725	5.e-002	5.e-002	4.8166e+007
511	0.75	5.e-002	2.5e-002	4.4338e+007
512	0.675	5.e-002	5.e-002	5.7171e+007
513	0.7	5.e-002	2.5e-002	5.3336e+007
514	0.625	5.e-002	5.e-002	6.6171e+007
515	0.65	5.e-002	2.5e-002	6.2333e+007
516	0.575	5.e-002	5.e-002	7.5171e+007
517	0.6	5.e-002	2.5e-002	7.1331e+007
518	0.525	5.e-002	5.e-002	8.417e+007
519	0.55	5.e-002	2.5e-002	8.033e+007
520	0.475	5.e-002	5.e-002	9.317e+007
521	0.5	5.e-002	2.5e-002	8.9329e+007
522	0.425	5.e-002	5.e-002	1.0217e+008
523	0.45	5.e-002	2.5e-002	9.8328e+007
524	0.375	5.e-002	5.e-002	1.1117e+008
525	0.4	5.e-002	2.5e-002	1.0733e+008
526	0.325	5.e-002	5.e-002	1.2016e+008
527	0.35	5.e-002	2.5e-002	1.1633e+008
528	0.275	5.e-002	5.e-002	1.2918e+008
529	0.3	5.e-002	2.5e-002	1.2533e+008
530	0.225	5.e-002	5.e-002	1.3814e+008
