Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
80	0.95	5.e-002	0.1	5.2309e-003
81	0.9	5.e-002	0.1	4.8557e-003
82	0.85	5.e-002	0.1	4.4805e-003
83	0.8	5.e-002	0.1	4.1081e-003
84	0.75	5.e-002	0.1	3.7407e-003
85	0.7	5.e-002	0.1	3.3804e-003
86	0.65	5.e-002	0.1	3.0294e-003
87	0.6	5.e-002	0.1	2.6899e-003
88	0.55	5.e-002	0.1	2.3639e-003
89	0.5	5.e-002	0.1	2.0535e-003
90	0.45	5.e-002	0.1	1.7606e-003
91	0.4	5.e-002	0.1	1.4871e-003
92	0.35	5.e-002	0.1	1.2345e-003
93	0.3	5.e-002	0.1	1.0043e-003
94	0.25	5.e-002	0.1	7.9728e-004
95	0.2	5.e-002	0.1	6.1396e-004
96	0.15	5.e-002	0.1	4.5331e-004
97	0.1	5.e-002	0.1	3.156e-004
98	5.e-002	5.e-002	0.1	1.8418e-004
99	0.	5.e-002	0.1	0.
100	0.	0.	0.1	0.
101	0.	-5.e-002	0.1	0.
102	0.	0.	5.e-002	0.
103	0.	0.	0.	0.
104	0.	-5.e-002	0.	0.
105	0.	-5.e-002	5.e-002	0.
106	0.	5.e-002	0.	0.
107	0.	5.e-002	5.e-002	0.
108	0.95	5.e-002	5.e-002	5.2314e-003
109	0.9	5.e-002	5.e-002	4.856e-003
110	0.85	5.e-002	5.e-002	4.481e-003
111	0.8	5.e-002	5.e-002	4.1089e-003
112	0.75	5.e-002	5.e-002	3.7416e-003
113	0.7	5.e-002	5.e-002	3.3815e-003
114	0.65	5.e-002	5.e-002	3.0306e-003
115	0.6	5.e-002	5.e-002	2.6911e-003
116	0.55	5.e-002	5.e-002	2.3651e-003
117	0.5	5.e-002	5.e-002	2.0546e-003
118	0.45	5.e-002	5.e-002	1.7615e-003
119	0.4	5.e-002	5.e-002	1.4876e-003
120	0.35	5.e-002	5.e-002	1.2345e-003
121	0.3	5.e-002	5.e-002	1.0034e-003
122	0.25	5.e-002	5.e-002	7.9506e-004
123	0.2	5.e-002	5.e-002	6.0982e-004
124	0.15	5.e-002	5.e-002	4.4575e-004
125	0.1	5.e-002	5.e-002	3.0509e-004
126	5.e-002	5.e-002	5.e-002	1.7264e-004
127	5.e-002	5.e-002	0.	1.8418e-004
128	0.1	5.e-002	0.	3.156e-004
129	0.15	5.e-002	0.	4.5331e-004
130	0.2	5.e-002	0.	6.1396e-004
131	0.25	5.e-002	0.	7.9728e-004
132	0.3	5.e-002	0.	1.0043e-003
133	0.35	5.e-002	0.	1.2345e-003
134	0.4	5.e-002	0.	1.4871e-003
135	0.45	5.e-002	0.	1.7606e-003
136	0.5	5.e-002	0.	2.0535e-003
