Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
515	0.65	5.e-002	2.5e-002	2.1028e+007
516	0.575	5.e-002	5.e-002	2.5548e+007
517	0.6	5.e-002	2.5e-002	2.4027e+007
518	0.525	5.e-002	5.e-002	2.8548e+007
519	0.55	5.e-002	2.5e-002	2.7027e+007
520	0.475	5.e-002	5.e-002	3.1548e+007
521	0.5	5.e-002	2.5e-002	3.0027e+007
522	0.425	5.e-002	5.e-002	3.4548e+007
523	0.45	5.e-002	2.5e-002	3.3026e+007
524	0.375	5.e-002	5.e-002	3.7548e+007
525	0.4	5.e-002	2.5e-002	3.6026e+007
526	0.325	5.e-002	5.e-002	4.0547e+007
527	0.35	5.e-002	2.5e-002	3.9026e+007
528	0.275	5.e-002	5.e-002	4.3548e+007
529	0.3	5.e-002	2.5e-002	4.2025e+007
530	0.225	5.e-002	5.e-002	4.6545e+007
531	0.25	5.e-002	2.5e-002	4.5032e+007
532	0.175	5.e-002	5.e-002	4.9578e+007
533	0.2	5.e-002	2.5e-002	4.8002e+007
534	0.125	5.e-002	5.e-002	5.2761e+007
535	0.15	5.e-002	2.5e-002	5.1179e+007
536	7.5e-002	5.e-002	5.e-002	5.8035e+007
537	0.1	5.e-002	2.5e-002	5.3768e+007
538	5.e-002	5.e-002	2.5e-002	6.0491e+007
